               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.015453,            0.071241,           0.0061344,             0.94864,              0.9304,             0.95379,             0.84493,            0.014199,            0.054979,           0.0050981,            0.007228,            0.007228,            0.007228
                  86,            0.015461,            0.071556,           0.0061186,              0.9472,             0.93231,             0.95461,             0.84828,            0.014178,             0.05427,           0.0052136,            0.007195,            0.007195,            0.007195
                  87,            0.015676,            0.072189,           0.0059737,             0.95392,             0.93441,             0.95593,              0.8485,            0.014209,              0.0544,           0.0050195,            0.007162,            0.007162,            0.007162
                  88,            0.015816,             0.07106,           0.0059624,             0.95318,             0.92924,             0.95218,             0.84451,            0.014166,            0.055497,           0.0050618,            0.007129,            0.007129,            0.007129
                  89,            0.015823,            0.071547,           0.0060259,             0.95244,             0.93389,             0.95543,             0.84641,            0.013958,            0.055065,           0.0050956,            0.007096,            0.007096,            0.007096
                  90,            0.015922,            0.072257,           0.0059682,             0.94931,             0.92863,             0.95178,             0.84641,            0.014097,            0.057038,           0.0054163,            0.007063,            0.007063,            0.007063
                  91,            0.016035,            0.071572,           0.0059398,             0.94252,             0.93639,             0.95342,             0.84699,            0.014329,            0.055393,           0.0051877,             0.00703,             0.00703,             0.00703
                  92,            0.015963,            0.071868,           0.0060501,             0.94949,             0.93006,             0.95582,             0.84813,            0.014611,            0.055273,           0.0051425,            0.006997,            0.006997,            0.006997
                  93,            0.015069,             0.07016,           0.0060889,             0.95157,             0.93009,             0.95374,             0.84453,            0.014199,            0.055655,            0.005142,            0.006964,            0.006964,            0.006964
                  94,            0.015111,            0.070738,           0.0059651,             0.95529,              0.9308,              0.9558,             0.84818,            0.014104,            0.055133,           0.0050261,            0.006931,            0.006931,            0.006931
                  95,            0.015326,            0.070614,           0.0058253,             0.94549,             0.93796,             0.95782,             0.85072,            0.013811,            0.054853,           0.0049611,            0.006898,            0.006898,            0.006898
                  96,            0.015334,            0.069313,           0.0057809,              0.9532,             0.93234,             0.95677,             0.84249,            0.014829,            0.055995,           0.0049743,            0.006865,            0.006865,            0.006865
                  97,            0.015438,            0.070889,            0.005864,             0.95401,             0.92505,             0.95199,             0.84289,              0.0147,            0.057165,           0.0052323,            0.006832,            0.006832,            0.006832
                  98,            0.015175,             0.07058,           0.0058915,             0.95069,             0.92962,             0.95212,             0.84314,            0.014315,            0.056139,           0.0050314,            0.006799,            0.006799,            0.006799
                  99,            0.015372,            0.070815,           0.0057643,             0.95118,              0.9227,             0.95168,             0.84234,             0.01422,            0.057621,           0.0052757,            0.006766,            0.006766,            0.006766
                 100,            0.015487,            0.071117,           0.0058367,             0.95355,             0.93452,             0.95644,             0.84843,            0.014168,            0.055503,           0.0049562,            0.006733,            0.006733,            0.006733
                 101,              0.0149,            0.068696,           0.0057713,               0.948,             0.93645,             0.95596,             0.85181,            0.014053,            0.055088,           0.0048889,              0.0067,              0.0067,              0.0067
                 102,             0.01517,            0.069671,           0.0056959,             0.94765,              0.9365,             0.95734,             0.84952,            0.013932,            0.055483,           0.0049601,            0.006667,            0.006667,            0.006667
                 103,             0.01495,            0.068913,           0.0056689,             0.95157,             0.93405,               0.956,             0.84023,            0.014957,            0.056331,           0.0047501,            0.006634,            0.006634,            0.006634
                 104,             0.01494,            0.069386,           0.0057002,             0.95273,             0.92788,             0.95454,             0.84803,             0.01409,             0.05543,           0.0048309,            0.006601,            0.006601,            0.006601
                 105,            0.015269,            0.068812,           0.0057826,               0.948,             0.93247,             0.95635,               0.846,            0.013775,            0.055179,           0.0051179,            0.006568,            0.006568,            0.006568
                 106,             0.01495,             0.06857,           0.0055602,             0.95076,             0.93415,             0.95694,              0.8504,             0.01397,            0.055258,           0.0048816,            0.006535,            0.006535,            0.006535
                 107,            0.015376,            0.069972,           0.0056852,             0.95349,             0.93387,             0.95647,             0.85102,            0.013994,            0.054043,           0.0048233,            0.006502,            0.006502,            0.006502
                 108,            0.015053,            0.069188,           0.0055965,             0.95331,              0.9315,             0.95722,             0.84118,            0.015245,            0.056151,           0.0049707,            0.006469,            0.006469,            0.006469
                 109,            0.014214,            0.068077,           0.0056254,             0.95629,             0.93421,             0.95663,             0.84998,            0.014098,            0.054357,           0.0049694,            0.006436,            0.006436,            0.006436
                 110,            0.014424,            0.068031,           0.0054626,             0.95388,             0.93028,             0.95605,             0.84796,            0.014439,            0.055548,           0.0048247,            0.006403,            0.006403,            0.006403
                 111,            0.014695,            0.066207,           0.0056167,             0.95072,             0.93641,             0.95415,             0.84858,            0.014072,            0.055547,           0.0048994,             0.00637,             0.00637,             0.00637
                 112,            0.014899,            0.068292,           0.0055083,             0.94644,             0.93314,             0.95106,             0.84609,             0.01382,             0.05621,            0.005068,            0.006337,            0.006337,            0.006337
                 113,            0.014076,            0.068029,           0.0054661,             0.95011,             0.93302,             0.95617,             0.85219,            0.013651,            0.054738,           0.0049967,            0.006304,            0.006304,            0.006304
                 114,            0.014229,            0.067965,           0.0054322,             0.95121,             0.93111,             0.95556,             0.84758,            0.014228,            0.055836,           0.0049662,            0.006271,            0.006271,            0.006271
                 115,             0.01456,            0.069073,           0.0055835,              0.9459,                0.93,             0.95354,             0.84635,            0.013941,             0.05566,           0.0052009,            0.006238,            0.006238,            0.006238
                 116,            0.014677,            0.068084,           0.0056026,             0.94996,             0.93513,             0.95886,             0.85314,            0.013781,            0.055123,           0.0048372,            0.006205,            0.006205,            0.006205
                 117,            0.014538,            0.068389,           0.0054561,              0.9522,              0.9365,             0.95804,             0.85351,            0.013708,            0.054481,           0.0048548,            0.006172,            0.006172,            0.006172
                 118,            0.014295,             0.06695,             0.00552,              0.9536,             0.93496,             0.95705,             0.84921,            0.014222,            0.055695,           0.0048615,            0.006139,            0.006139,            0.006139
                 119,            0.014385,            0.067275,           0.0053135,             0.95226,             0.93675,             0.95952,             0.85546,            0.013612,            0.054144,           0.0046985,            0.006106,            0.006106,            0.006106
                 120,            0.014397,            0.068163,           0.0054128,             0.95519,             0.93889,             0.95831,             0.85062,            0.014289,            0.054306,           0.0046318,            0.006073,            0.006073,            0.006073
                 121,            0.014288,            0.068117,           0.0052643,             0.95385,             0.93621,             0.95904,             0.85502,            0.013765,            0.055055,           0.0048274,             0.00604,             0.00604,             0.00604
                 122,            0.014082,            0.066326,           0.0055826,             0.95492,             0.93109,             0.95699,              0.8506,            0.013818,             0.05562,             0.00479,            0.006007,            0.006007,            0.006007
                 123,            0.014535,            0.068253,           0.0053822,             0.94914,              0.9313,              0.9548,             0.84875,            0.013774,            0.055825,           0.0050786,            0.005974,            0.005974,            0.005974
                 124,            0.014516,            0.067175,           0.0054116,             0.95001,             0.93432,             0.95635,             0.84708,            0.014358,            0.056331,           0.0047946,            0.005941,            0.005941,            0.005941
                 125,            0.014564,            0.067651,           0.0054096,             0.95324,              0.9342,             0.95537,             0.85309,            0.013752,            0.055231,             0.00471,            0.005908,            0.005908,            0.005908
                 126,            0.014283,            0.066343,           0.0053026,             0.95029,             0.93152,             0.95325,             0.84977,            0.013944,             0.05663,           0.0049707,            0.005875,            0.005875,            0.005875
                 127,             0.01416,            0.067488,           0.0053049,             0.95371,             0.93458,             0.95707,             0.85383,            0.013677,            0.054695,           0.0048653,            0.005842,            0.005842,            0.005842
